month,day,hour,weekday,ride_count,weekday_num
4,8,12,Tuesday,518,1
4,8,13,Tuesday,584,1
4,8,14,Tuesday,716,1
4,8,15,Tuesday,996,1
4,8,16,Tuesday,1206,1
4,8,17,Tuesday,1386,1
4,8,18,Tuesday,1062,1
4,8,19,Tuesday,929,1
4,8,20,Tuesday,1127,1
4,8,21,Tuesday,944,1
4,8,22,Tuesday,587,1
4,8,23,Tuesday,298,1
4,9,0,Wednesday,154,2
4,9,1,Wednesday,106,2
4,9,2,Wednesday,76,2
4,9,3,Wednesday,139,2
4,9,4,Wednesday,194,2
4,9,5,Wednesday,353,2
4,9,6,Wednesday,821,2
4,9,7,Wednesday,1050,2
4,9,8,Wednesday,858,2
4,9,9,Wednesday,565,2
4,9,10,Wednesday,533,2
4,9,11,Wednesday,552,2
4,9,12,Wednesday,590,2
4,9,13,Wednesday,683,2
4,9,14,Wednesday,849,2
4,9,15,Wednesday,1120,2
4,9,16,Wednesday,1276,2
4,9,17,Wednesday,1492,2
4,9,18,Wednesday,1218,2
4,9,19,Wednesday,1152,2
4,9,20,Wednesday,995,2
4,9,21,Wednesday,988,2
4,9,22,Wednesday,717,2
4,9,23,Wednesday,362,2
4,10,0,Thursday,176,3
4,10,1,Thursday,106,3
4,10,2,Thursday,72,3
4,10,3,Thursday,154,3
4,10,4,Thursday,223,3
4,10,5,Thursday,360,3
4,10,6,Thursday,833,3
4,10,7,Thursday,971,3
4,10,8,Thursday,834,3
4,10,9,Thursday,654,3
4,10,10,Thursday,561,3
4,10,11,Thursday,627,3
4,10,12,Thursday,623,3
4,10,13,Thursday,822,3
4,10,14,Thursday,1056,3
4,10,15,Thursday,1333,3
4,10,16,Thursday,1553,3
4,10,17,Thursday,1757,3
4,10,18,Thursday,1535,3
4,10,19,Thursday,1312,3
4,10,20,Thursday,1461,3
4,10,21,Thursday,1477,3
4,10,22,Thursday,969,3
4,10,23,Thursday,572,3
4,11,0,Friday,250,4
4,11,1,Friday,161,4
4,11,2,Friday,109,4
4,11,3,Friday,197,4
4,11,4,Friday,228,4
4,11,5,Friday,337,4
4,11,6,Friday,800,4
4,11,7,Friday,1041,4
4,11,8,Friday,926,4
4,11,9,Friday,606,4
4,11,10,Friday,631,4
4,11,11,Friday,664,4
4,11,12,Friday,702,4
4,11,13,Friday,880,4
4,11,14,Friday,893,4
4,11,15,Friday,1266,4
4,11,16,Friday,1432,4
4,11,17,Friday,1591,4
4,11,18,Friday,1518,4
4,11,19,Friday,1357,4
4,11,20,Friday,1155,4
4,11,21,Friday,1180,4
4,11,22,Friday,1382,4
4,11,23,Friday,1114,4
4,12,0,Saturday,666,5
4,12,1,Saturday,458,5
4,12,2,Saturday,272,5
4,12,3,Saturday,178,5
4,12,4,Saturday,159,5
4,12,5,Saturday,170,5
4,12,6,Saturday,200,5
4,12,7,Saturday,255,5
4,12,8,Saturday,344,5
4,12,9,Saturday,409,5
4,12,10,Saturday,514,5
4,12,11,Saturday,544,5
4,12,12,Saturday,611,5
4,12,13,Saturday,628,5
4,12,14,Saturday,715,5
4,12,15,Saturday,1083,5
4,12,16,Saturday,1292,5
4,12,17,Saturday,1230,5
4,12,18,Saturday,1617,5
4,12,19,Saturday,1271,5
4,12,20,Saturday,1063,5
4,12,21,Saturday,1382,5
4,12,22,Saturday,1648,5
4,12,23,Saturday,1461,5
4,13,0,Sunday,1130,6
4,13,1,Sunday,670,6
4,13,2,Sunday,337,6
4,13,3,Sunday,236,6
4,13,4,Sunday,155,6
4,13,5,Sunday,130,6
4,13,6,Sunday,179,6
4,13,7,Sunday,217,6
4,13,8,Sunday,294,6
4,13,9,Sunday,439,6
4,13,10,Sunday,489,6
4,13,11,Sunday,581,6
4,13,12,Sunday,580,6
4,13,13,Sunday,652,6
4,13,14,Sunday,740,6
4,13,15,Sunday,812,6
4,13,16,Sunday,878,6
4,13,17,Sunday,775,6
4,13,18,Sunday,647,6
4,13,19,Sunday,554,6
4,13,20,Sunday,490,6
4,13,21,Sunday,514,6
4,13,22,Sunday,385,6
4,13,23,Sunday,228,6
4,14,0,Monday,119,0
4,14,1,Monday,48,0
4,14,2,Monday,45,0
4,14,3,Monday,122,0
4,14,4,Monday,208,0
4,14,5,Monday,378,0
4,14,6,Monday,682,0
4,14,7,Monday,911,0
4,14,8,Monday,730,0
4,14,9,Monday,491,0
4,14,10,Monday,443,0
4,14,11,Monday,443,0
4,14,12,Monday,494,0
4,14,13,Monday,538,0
4,14,14,Monday,722,0
4,14,15,Monday,944,0
4,14,16,Monday,1030,0
4,14,17,Monday,965,0
4,14,18,Monday,721,0
4,14,19,Monday,643,0
4,14,20,Monday,677,0
4,14,21,Monday,620,0
4,14,22,Monday,443,0
4,14,23,Monday,257,0
4,15,0,Tuesday,137,1
